,brand,processor,screen_size,ROM,RAM,display_size,num_rear_camera,num_front_camera,battery_capacity,ratings,sales_price
307,3,2,0,0.1111111111111111,3,6.5,2,1,0.625,4.149999999999999,8850
308,3,1,0,0.25925925925925924,4,6.5,4,1,0.625,4.2,14999
309,3,4,3,1.0,9,6.800000000000001,3,1,0.4750000000000001,4.4,54499
310,3,4,3,1.0,9,6.800000000000001,3,1,0.4750000000000001,4.4,54499
311,3,4,0,0.1111111111111111,3,6.5,3,1,0.625,4.2,9499
312,3,2,0,0.25925925925925924,4,6.5,3,1,0.625,4.2,12499
313,3,4,0,0.5555555555555556,6,6.5,4,1,0.5,4.3,35999
314,3,1,0,0.25925925925925924,6,6.5,4,1,0.625,4.2,15199
315,3,1,1,0.5555555555555556,4,6.4,3,1,0.375,4.3,14999
316,3,4,0,0.5555555555555556,8,6.5,4,1,0.5,4.4,28999
317,3,2,0,0.1111111111111111,3,6.5,3,1,0.625,4.149999999999999,11499
318,3,2,0,0.25925925925925924,4,6.5,3,1,0.625,4.2,12400
319,3,1,0,1.0,9,6.800000000000001,3,1,0.5,4.5,54499
320,3,2,0,0.1111111111111111,3,6.5,3,1,0.625,4.149999999999999,11499
321,3,1,0,1.0,8,6.7,3,1,0.44999999999999996,4.3,54499
322,3,4,0,0.5555555555555556,6,6.5,4,1,0.5,4.3,35999
323,3,1,0,0.5555555555555556,8,6.5,3,1,0.5,4.149999999999999,49999
324,3,2,0,0.1111111111111111,3,6.5,2,1,0.625,4.149999999999999,8083
325,3,1,0,0.5555555555555556,6,6.5,4,1,0.625,4.149999999999999,16499
326,3,4,2,0.0,1,6.0,1,1,0.025000000000000022,4.149999999999999,15999
327,3,1,0,0.5555555555555556,8,6.5,3,1,0.5,4.149999999999999,49999
328,3,4,3,1.0,9,6.800000000000001,3,1,0.5,4.149999999999999,54499
329,3,1,1,0.5555555555555556,4,6.4,3,1,0.375,4.3,14999
330,3,1,0,1.0,9,6.800000000000001,3,1,0.5,4.5,54499
331,3,3,1,0.25925925925925924,4,6.0,3,1,0.20000000000000007,4.4,17990
332,3,1,2,0.25925925925925924,4,6.0,1,1,0.125,4.5,9490
333,3,1,2,0.037037037037037035,2,6.0,1,1,0.20000000000000007,4.3,15299
